Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
0,407,130,0,0,0,135,19,5,1,16,12,15,0,40,0
0,408,170,1,0,0,180,25,10,1,21,16,15,0,50,2
0,409,200,0,0,0,110,41,5,1,39,10,10,0,30,0
0,410,250,0,0,0,135,51,5,1,48,12,15,0,40,0
0,411,310,1,0,0,180,63,10,1,59,16,15,0,50,2
0,412,200,0,0,0,110,40,5,1,38,10,10,0,30,0
0,413,250,0,0,0,135,51,5,1,48,12,15,0,40,0
0,414,310,1,0,0,180,63,10,1,59,16,15,0,50,2
0,415,190,0,0,0,115,39,5,1,37,10,10,0,30,0
0,416,240,0,0,0,140,49,5,1,46,12,15,0,40,2
0,417,300,1,0,0,180,60,10,1,56,16,15,0,50,2
0,418,140,0,0,0,150,24,5,1,13,10,10,0,30,0
0,419,170,0,0,0,180,30,5,1,16,12,15,0,40,0
0,420,220,1,0,0,240,38,10,2,21,16,15,0,50,2
0,421,340,11,0,7,150,49,35,2,42,10,10,0,30,6
0,422,410,14,0,8,190,60,40,2,53,13,10,0,40,6
0,423,500,17,1,10,240,72,50,2,63,16,15,0,50,8
0,424,270,4,0,2,150,49,15,2,43,11,10,0,35,6
0,425,330,4,0,2,190,60,15,2,53,13,15,0,40,6
0,426,390,4,0,3,240,73,20,2,64,17,20,0,50,8
0,427,320,11,0,7,170,45,35,1,40,10,10,0,30,2
0,428,390,14,1,8,220,55,40,1,50,12,15,0,40,2
0,429,480,17,1,10,270,66,50,1,60,16,15,0,50,4
0,430,250,4,0,2,170,45,15,1,41,10,10,0,35,2
0,431,310,4,0,2,210,56,15,1,51,13,15,0,40,2
0,432,370,4,0,3,270,67,20,1,61,17,20,0,50,4
0,433,360,13,0,8,180,50,40,1,45,11,10,0,40,6
0,434,440,16,1,9,220,61,50,1,56,14,15,0,45,6
0,435,540,20,1,12,280,73,60,1,68,17,20,0,60,8
0,436,280,4,0,2,180,50,15,1,46,12,15,0,40,6
0,437,340,4,0,2,220,61,15,1,57,14,20,0,50,6
0,438,400,4,0,3,280,74,20,1,69,19,25,0,60,8
0,439,140,5,0,3,35,23,15,0,22,1,4,0,4,0
0,440,190,7,0,5,50,31,25,0,30,1,4,0,4,0
0,441,270,9,0,6,75,47,35,0,45,2,6,0,8,0
0,442,130,5,0,3,35,22,15,0,21,1,4,0,4,0
0,443,180,7,0,5,50,29,25,0,28,1,4,0,4,0
0,444,260,9,0,6,65,43,35,0,42,2,6,0,6,0
0,445,130,5,0,3,35,21,15,0,20,1,4,0,4,0
0,446,180,7,0,5,50,29,25,0,28,1,4,0,4,0
0,447,250,9,0,6,75,43,35,0,41,2,6,0,8,0
0,448,120,5,0,3,40,20,15,0,19,1,4,0,4,0
0,449,170,7,0,5,55,27,25,0,26,1,4,0,4,0
0,450,240,9,0,6,80,41,35,0,39,2,6,0,8,0
0,451,80,5,0,3,65,9,15,0,1,1,4,0,4,0
