Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
1,214,310,6,4,0,0,240,65,2,60,4,4,0,10,30
1,215,420,5,4,0,5,340,90,2,84,7,10,0,20,35
1,216,460,10,7,0,15,340,90,2,84,7,6,0,15,35
1,217,430,8,5,0,0,330,88,3,80,6,6,0,20,40
1,218,90,0,0,0,0,160,20,0,19,3,4,0,10,0
1,219,120,0,0,0,0,210,26,0,26,3,6,0,10,0
1,220,160,0,0,0,5,270,34,0,33,5,8,0,15,2
1,221,110,1,0,0,0,150,24,1,23,3,4,0,8,6
1,222,150,1,1,0,0,200,33,1,30,4,6,0,10,8
1,223,210,1,1,0,5,280,46,1,42,6,8,0,15,10
1,224,100,0,0,0,0,140,23,0,23,3,4,0,8,0
1,225,150,0,0,0,0,200,33,0,32,3,6,0,10,0
1,226,200,0,0,0,5,270,44,0,43,5,8,0,15,2
1,227,150,3,2,0,0,170,30,1,27,4,4,0,10,20
1,228,220,4,3,0,0,240,43,2,39,5,6,0,10,25
1,229,290,5,4,0,5,320,58,2,52,7,8,0,15,35
1,230,170,0,0,0,0,140,39,0,38,3,6,6,10,2
1,231,190,3,2,0,10,140,38,0,37,3,4,6,10,2
1,232,170,2,0,0,0,135,37,1,35,3,4,6,10,6
1,233,230,0,0,0,0,190,53,0,52,4,8,6,15,4
1,234,260,4,2,0,10,190,53,0,52,4,6,6,15,4
1,235,240,2,0,0,0,180,51,1,49,3,4,6,15,8
1,236,310,0,0,0,5,260,70,0,69,6,10,8,20,4
1,237,350,6,3,0,15,260,70,0,68,6,8,8,20,4
1,239,170,0,0,0,0,160,39,0,38,4,6,0,10,0
1,240,200,4,2,0,10,160,39,0,38,3,6,0,10,0
1,241,180,2,0,0,0,160,37,1,35,3,4,0,10,6
1,242,240,0,0,0,5,230,56,0,55,5,8,0,15,0
0,243,300,13,0,5,750,31,260,4,3,17,10,0,25,15
0,244,250,8,0,3,770,30,25,4,3,18,6,0,25,8
0,245,370,23,0,8,780,29,45,4,2,14,8,0,25,10
0,246,450,28,0,10,860,30,285,4,2,21,15,0,30,15
0,247,400,23,0,8,880,30,50,4,2,21,6,0,25,10
0,248,430,23,1,9,960,31,300,4,3,26,15,2,30,20
0,249,460,26,0,13,1300,38,250,2,3,19,10,8,15,15
0,250,520,30,0,14,1410,43,250,3,4,19,15,8,20,20
0,251,410,20,0,11,1300,36,35,2,3,20,2,8,15,10
0,252,470,25,0,12,1420,42,35,3,4,20,6,8,15,15
0,253,430,27,0,12,1080,34,30,2,2,11,0,0,6,15
0,254,480,31,0,13,1190,39,30,3,3,11,4,0,8,15
0,255,510,33,0,14,1170,36,250,2,2,18,6,0,10,20
0,256,570,37,0,15,1280,42,250,3,3,18,10,0,10,20
0,257,460,27,0,12,1180,34,35,2,3,18,0,0,8,15
0,258,520,32,0,13,1290,40,35,3,3,18,4,0,8,15
0,259,410,20,0,8,1180,41,30,2,3,17,0,2,6,15
0,260,470,24,0,9,1290,46,30,3,4,17,4,2,8,15
0,261,540,32,1,16,1470,38,280,2,3,25,10,2,20,25
0,262,460,21,0,9,1250,48,250,2,15,19,10,10,20,15
0,263,400,15,0,7,1250,47,35,2,16,20,2,10,15,10
0,264,420,22,0,8,1030,44,35,2,15,11,0,0,8,10
0,265,550,31,0,12,1320,48,265,2,15,20,10,0,20,15
0,266,500,26,0,10,1320,46,50,2,15,21,2,0,20,10
0,267,620,31,1,11,1480,57,275,3,7,30,20,15,20,20
0,268,570,25,1,9,1480,55,60,3,8,30,10,15,20,15
0,269,670,35,2,13,1510,56,295,3,7,33,20,4,25,25
0,270,740,48,0,17,1560,51,555,3,3,28,15,2,15,25
0,271,800,52,0,18,1680,56,555,4,3,28,15,2,15,30
0,272,640,37,0,14,1590,50,35,3,3,26,0,2,10,15
0,273,690,41,0,14,1700,55,35,4,4,26,4,2,10,15
0,274,1090,56,0,19,2150,111,575,6,17,36,15,2,25,40
0,275,1150,60,0,20,2260,116,575,7,17,36,15,2,30,40
0,276,990,46,0,16,2170,110,55,6,17,35,0,2,25,30
0,277,1050,50,0,16,2290,115,55,7,18,35,4,2,25,30
0,278,350,9,0,2,590,60,20,3,14,8,0,0,15,15
0,279,520,24,0,7,930,61,50,3,14,15,0,0,15,15
0,280,300,16,0,7,790,26,115,1,2,12,10,2,15,15
0,281,150,9,0,2,310,15,0,2,0,1,0,2,0,2
0,282,460,19,0,9,370,66,15,3,32,6,4,0,6,15
0,283,290,4,0,2,160,58,5,5,32,5,2,130,10,10
0,284,260,4,0,2,115,49,5,5,18,5,2,130,6,10
0,285,530,27,1,10,960,47,85,3,9,24,6,2,25,25
0,286,520,26,2,12,1100,41,95,3,10,30,10,2,30,25
0,287,600,29,2,13,1440,48,105,3,12,37,6,15,25,30
0,288,610,31,2,13,1180,46,105,3,10,37,8,20,25,30
0,289,540,27,2,11,960,45,85,3,9,29,10,8,25,30
0,290,750,43,3,19,1280,42,160,3,10,48,10,2,30,35
0,291,240,8,0,3,480,32,30,1,6,12,2,2,10,15
0,292,290,11,1,5,680,33,45,2,7,15,6,2,20,15
0,293,430,21,1,10,1040,35,90,2,7,24,10,2,30,20
0,294,720,40,2,15,1470,51,115,4,14,39,8,25,30,25
0,295,380,17,1,8,840,34,75,2,7,22,6,2,20,20
0,296,440,22,1,10,1110,35,90,2,7,27,6,10,20,20
0,297,430,22,1,9,760,34,80,2,7,22,8,8,20,20
0,298,430,23,1,9,1030,35,80,2,6,22,6,8,20,20
0,299,500,26,0,10,980,44,70,3,11,22,2,2,15,20
0,300,510,22,0,4,990,55,45,3,10,24,4,6,15,20
0,301,350,9,0,2,820,42,65,3,8,28,4,8,15,20
0,302,670,33,0,9,1410,58,85,3,11,36,8,20,30,20
0,303,510,20,0,7,1250,44,105,3,9,40,8,20,30,20
0,304,610,28,0,6,1400,57,70,3,11,32,4,20,15,20
0,305,450,15,0,5,1230,43,90,3,9,36,4,20,15,20
0,306,750,38,1,10,1720,65,90,4,16,36,8,25,30,15
0,307,590,25,0,8,1560,51,110,4,14,40,8,30,30,15
0,308,430,19,0,3,910,43,45,2,7,21,4,2,15,15
0,309,360,16,0,3,800,40,35,2,5,14,0,2,10,15
0,310,480,24,0,7,1260,43,65,2,6,22,4,10,20,15
0,311,430,21,0,5,1260,41,50,2,6,20,2,10,15,15
